country,ISO3,region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Gabon,GAB,Sub-Saharan Africa,85,84,83,81,79,77,75,72,69,66,63,61,58,55,52,51
Gambia,GMB,Sub-Saharan Africa,119,115,110,106,102,98,94,91,87,84,81,79,76,74,71,69
Georgia,GEO,Europe & Central Asia,36,33,31,29,27,25,23,21,19,18,17,16,14,13,13,12
Germany,DEU,Europe & Central Asia,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
Ghana,GHA,Sub-Saharan Africa,101,97,94,91,89,87,84,82,80,77,75,72,69,67,64,62
Greece,GRC,Europe & Central Asia,8,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5
Grenada,GRD,Latin America & Caribbean,16,16,15,15,15,14,14,14,14,13,13,13,13,13,12,12
Guatemala,GTM,Latin America & Caribbean,51,49,47,45,43,41,40,38,37,36,35,33,32,31,30,29
Guinea,GIN,Sub-Saharan Africa,170,163,156,149,143,137,131,126,121,116,112,108,104,100,97,94
Guinea-Bissau,GNB,Sub-Saharan Africa,178,172,165,159,153,146,140,134,128,122,116,110,105,101,96,93
Guyana,GUY,Latin America & Caribbean,47,46,45,44,43,43,42,42,42,42,42,41,41,41,40,39
Haiti,HTI,Latin America & Caribbean,105,101,98,95,92,90,88,86,83,81,209,77,75,73,71,69
Honduras,HND,Latin America & Caribbean,37,36,34,33,31,30,29,28,27,25,24,24,23,22,21,20
Hungary,HUN,Europe & Central Asia,11,11,10,9,9,8,8,8,7,7,7,6,6,6,6,6
Iceland,ISL,Europe & Central Asia,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2
India,IND,South Asia,91,88,84,81,78,75,72,69,66,63,60,57,55,52,50,48
Indonesia,IDN,East Asia & Pacific,52,50,48,45,49,41,40,38,36,35,33,32,30,29,28,27
Iran,IRN,Middle East & North Africa,35,33,31,29,27,26,24,23,21,20,19,18,18,17,16,16
